"department","product_id","product_name","total_vendas","freq_relativa","freq_acumulada"
"alcohol",2120,"Sauvignon Blanc","2466","0.054","0.054"
"alcohol",33065,"Cabernet Sauvignon","1842","0.040","0.094"
"alcohol",38444,"Chardonnay","1812","0.039","0.133"
"alcohol",46088,"Beer","1689","0.037","0.170"
"alcohol",45190,"Vodka","1638","0.036","0.205"
"babies",43875,"Baby Food Stage 2 Blueberry Pear & Purple Carrot","2641","0.021","0.021"
"babies",34134,"Spinach Peas & Pear Stage 2 Baby Food","2481","0.020","0.040"
"babies",2611,"Gluten Free SpongeBob Spinach Littles","2151","0.017","0.057"
"babies",3020,"Broccoli & Apple Stage 2 Baby Food","2056","0.016","0.073"
"babies",44471,"Free & Clear Unscented Baby Wipes","1942","0.015","0.089"
"bakery",5077,"100% Whole Wheat Bread","18097","0.051","0.051"
"bakery",18362,"Organic Bread with 21 Whole Grains","6873","0.019","0.071"
"bakery",18027,"Ezekiel 4:9 Bread Organic Sprouted Whole Grain","5381","0.015","0.086"
"bakery",21267,"Sourdough Bread","4838","0.014","0.100"
"bakery",19508,"Corn Tortillas","4522","0.013","0.113"
"beverages",44632,"Sparkling Water Grapefruit","22728","0.028","0.028"
"beverages",19660,"Spring Water","16873","0.021","0.049"
"beverages",35221,"Lime Sparkling Water","14131","0.017","0.066"
"beverages",33198,"Sparkling Natural Mineral Water","12953","0.016","0.082"
"beverages",3957,"100% Raw Coconut Water","11380","0.014","0.097"
"breakfast",41844,"Honey Nut Cheerios","8002","0.038","0.038"
"breakfast",44422,"Organic Old Fashioned Rolled Oats","6108","0.029","0.066"
"breakfast",6187,"Raisin Bran Cereal","4549","0.021","0.088"
"breakfast",20955,"Cereal","3697","0.017","0.105"
"breakfast",21543,"Organic Quick Oats","2975","0.014","0.119"
"bulk",5161,"Dried Mango","3066","0.294","0.294"
"bulk",22260,"Organic Rolled Oats","1990","0.191","0.485"
"bulk",22827,"Organic Black Mission Figs","805","0.077","0.563"
"bulk",1000,"Apricots","758","0.073","0.636"
"bulk",7314,"Organic Quick Rolled Oats","408","0.039","0.675"
"canned goods",27156,"Organic Black Beans","11312","0.035","0.035"
"canned goods",42768,"Organic Garbanzo Beans","8968","0.028","0.063"
"canned goods",28849,"No Salt Added Black Beans","8460","0.026","0.089"
"canned goods",890,"Organic Diced Tomatoes","6529","0.020","0.110"
"canned goods",45535,"Organic Low Sodium Chicken Broth","5388","0.017","0.127"
"deli",30489,"Original Hummus","21537","0.068","0.068"
"deli",27344,"Uncured Genoa Salami","12413","0.039","0.108"
"deli",42585,"Organic Extra Firm Tofu","8740","0.028","0.135"
"deli",22963,"Organic Roasted Turkey Breast","8628","0.027","0.163"
"deli",40310,"Oven Roasted Turkey Breast","6086","0.019","0.182"
"dry goods pasta",23375,"Marinara Sauce","6060","0.023","0.023"
"dry goods pasta",39619,"Organic Tomato Basil Pasta Sauce","5055","0.019","0.043"
"dry goods pasta",32734,"Spaghetti","4660","0.018","0.061"
"dry goods pasta",12206,"Basil Pesto","4653","0.018","0.079"
"dry goods pasta",14197,"Tomato Paste","3411","0.013","0.092"
"frozen",9076,"Blueberries","16673","0.025","0.025"
"frozen",20995,"Organic Broccoli Florets","9890","0.015","0.040"
"frozen",24489,"Organic Whole Strawberries","9414","0.014","0.054"
"frozen",17948,"Frozen Organic Wild Blueberries","8993","0.013","0.067"
"frozen",46802,"Pineapple Chunks","7625","0.011","0.079"
"household",8021,"100% Recycled Paper Towels","8381","0.038","0.038"
"household",2086,"Sustainably Soft Bath Tissue","5501","0.025","0.063"
"household",31066,"Aluminum Foil","3192","0.014","0.077"
"household",13838,"Natural Free & Clear Dish Liquid","2752","0.012","0.089"
"household",8230,"100% Recycled Bathroom Tissue","2144","0.010","0.099"
"international",36724,"Organic Sea Salt Roasted Seaweed Snacks","3107","0.039","0.039"
"international",2450,"Taco Seasoning","2565","0.032","0.070"
"international",39430,"New Mexico Taco Skillet Sauce For Chicken","1381","0.017","0.088"
"international",23032,"Sriracha Chili Sauce","1286","0.016","0.104"
"international",22220,"Original Roasted Seaweed Snacks","1244","0.015","0.119"
"meat seafood",25890,"Boneless Skinless Chicken Breasts","15094","0.071","0.071"
"meat seafood",38293,"Ground Turkey Breast","7910","0.037","0.108"
"meat seafood",6046,"Boneless Skinless Chicken Breast","6814","0.032","0.140"
"meat seafood",47672,"Uncured Hickory Smoked Sunday Bacon","6296","0.030","0.170"
"meat seafood",45633,"Organic Beef Hot Dogs","5145","0.024","0.194"
"missing",41149,"Organic Riced Cauliflower","2564","0.123","0.123"
"missing",7035,"Peanut Butter Ice Cream Cup","579","0.028","0.151"
"missing",38510,"Organic Celery Bunch","526","0.025","0.177"
"missing",14010,"Organic Mango Yogurt","502","0.024","0.201"
"missing",10690,"Natural Lemon Flavored Sparkling Water","446","0.021","0.222"
"other",38662,"Roasted Almond Butter","1214","0.112","0.112"
"other",26756,"Light CocoWhip! Coconut Whipped Topping","489","0.045","0.157"
"other",32115,"93/7 Ground Beef","388","0.036","0.192"
"other",13475,"Coconut Almond Granola","236","0.022","0.214"
"other",39461,"Coffee Mate French Vanilla Creamer Packets","234","0.022","0.236"
"pantry",31506,"Extra Virgin Olive Oil","15052","0.027","0.027"
"pantry",30450,"Creamy Almond Butter","6494","0.012","0.038"
"pantry",16953,"Creamy Peanut Butter","5913","0.011","0.049"
"pantry",43713,"Organic Creamy Peanut Butter","5387","0.010","0.058"
"pantry",42356,"Strawberry Preserves","4610","0.008","0.067"
"personal care",12312,"Lavender Hand Soap","1753","0.013","0.013"
"personal care",27544,"Lemon Verbena Hand Soap","1495","0.011","0.024"
"personal care",9047,"Premium Epsom Salt","1273","0.009","0.034"
"personal care",33493,"Cotton Swabs","1213","0.009","0.043"
"personal care",29418,"Fluoride-Free Antiplaque & Whitening Peppermint Toothpaste","995","0.007","0.050"
"pets",7076,"Grain Free Chicken Formula Cat Food","545","0.018","0.018"
"pets",10863,"Grain Free Turkey & Salmon Formula Cat Food","509","0.017","0.036"
"pets",49355,"Instant Action Cat Litter","462","0.016","0.051"
"pets",16647,"Double Duty Advanced Odor Control Clumping Cat Litter","396","0.013","0.065"
"pets",54,"24/7 Performance Cat Litter","325","0.011","0.076"
"snacks",13870,"Lightly Salted Baked Snap Pea Crisps","7358","0.008","0.008"
"snacks",34448,"Original Veggie Straws","5061","0.006","0.014"
"snacks",31040,"Sea Salt Pita Chips","4921","0.006","0.020"
"snacks",21376,"Pretzel Crisps Original Deli Style Pretzel Crackers","4681","0.005","0.025"
"snacks",40709,"Sea Salt & Vinegar Potato Chips","4502","0.005","0.031"
